ACCtrinom,SYNtri,grp,isTrinomial,notes,newTaxa,origFullText
Scapania_americana,,hep,0,NA,NA,NA
Scapania_bolanderi,,hep,0,NA,NA,NA
Scapania_curta,,hep,0,NA,NA,NA
Scapania_cuspiduligera,,hep,0,NA,NA,NA
Scapania_irrigua,,hep,0,NA,NA,NA
Scapania_mucronata,,hep,0,NA,NA,NA
Scapania_scandica,,hep,0,NA,NA,NA
Scapania_subalpina,,hep,0,NA,NA,NA
Scapania_subalpina,Scapania_subalpins,hep,0,NA,NA,NA
Scapania_umbrosa,,hep,0,NA,NA,NA
Scapania_undulata_oakesii,,hep,1,NA,NA,NA
Scapania_undulata_oakesii,Scapania_oakesi,hep,1,NA,NA,NA
Scapania_undulata_oakesii,Scapania_oakesii,hep,1,NA,NA,NA
Scapania_undulata_undulata,,hep,1,NA,NA,NA
Sphaerocarpos_cristatus,,hep,0,NA,NA,NA
Sphaerocarpos_cristatus,Sphaerocarpus_cristatus,hep,0,NA,NA,NA
Sphaerocarpos_drewiae,,hep,0,NA,NA,NA
Sphaerocarpos_drewiae,Sphaerocarpos_drewei,hep,0,NA,NA,NA
Sphaerocarpos_michelii,,hep,0,NA,NA,NA
Sphaerocarpos_texanus,,hep,0,NA,NA,NA
Sphaerocarpos_texanus,Sphaerocarpus_texanus,hep,0,NA,NA,NA
Targionia_hypophylla,,hep,0,NA,NA,NA
Anthoceros_agrestis,,horn,0,NA,NA,NA
Anthoceros_fusiformis,,horn,0,NA,NA,NA
Anthoceros_fusiformis,Anthoceros_crispulus,horn,0,NA,NA,NA
Anthoceros_fusiformis,Anthoceros_crispus,horn,0,NA,NA,NA
Anthoceros_fusiformis,Anthoceros_fuciformis,horn,0,NA,NA,NA
Anthoceros_fusiformis,Anthoceros_stomatifer,horn,0,NA,NA,NA
Anthoceros_fusiformis,Aspiromitus_fusiformis,horn,0,NA,NA,NA
Anthoceros_punctatus,,horn,0,NA,NA,NA
Phaeoceros_carolinianus,,horn,0,NA,NA,NA
Phaeoceros_carolinianus,Anthoceros_carolinianus,horn,0,NA,NA,NA
Phaeoceros_carolinianus,Phaeoceros_carolinianus_subsp,horn,0,NA,NA,NA
Phaeoceros_carolinianus,Anthoceros_carolinianus_var_occidentalis,horn,0,NA,NA,NA
Phaeoceros_carolinianus,Phaeoceros_laevis_carolinianus,horn,0,NA,NA,NA
Phaeoceros_carolinianus,Anthoceros_laevis_carolinianus,horn,0,NA,NA,NA
Phaeoceros_carolinianus,Phaeoceros_laevis,horn,0,NA,NA,NA
Phaeoceros_carolinianus,Anthoceros_laevis,,0,,,
Phaeoceros_hallii,,horn,0,NA,NA,NA
